recording_id;sole_id;timestamp;x_value;y_value;z_value
0;1;1715769049306;112;1570;679
0;2;1715769049306;32767;0;0
0;1;1715769049404;126;1573;670
0;1;1715769049502;123;1569;676
0;2;1715769049502;32767;0;0
0;2;1715769049599;32767;0;0
0;1;1715769049602;112;1572;687
0;2;1715769049697;32767;0;0
0;1;1715769049702;108;1581;676
0;2;1715769049795;32767;0;0
0;1;1715769049797;117;1573;669
0;2;1715769049892;32767;0;0
0;1;1715769049895;126;1573;667
0;2;1715769049990;32767;0;0
0;1;1715769049993;126;1567;673
0;2;1715769050088;32767;0;0
0;1;1715769050092;124;1557;672
0;2;1715769050185;32767;0;0
0;1;1715769050189;124;1573;670
0;2;1715769050283;32767;0;0
0;1;1715769050288;115;1569;679
0;2;1715769050380;32767;0;0
0;1;1715769050387;106;1558;670
0;2;1715769050478;32767;0;0
0;1;1715769050484;120;1560;666
0;2;1715769050577;32767;0;0
0;1;1715769050583;117;1557;667
0;2;1715769050674;32767;0;0
0;1;1715769050681;102;1555;676
0;2;1715769050772;32767;0;0
0;1;1715769050784;115;1567;688
0;2;1715769050870;32767;0;0
0;1;1715769050878;126;1572;685
0;2;1715769050967;32767;0;0
0;1;1715769050975;112;1569;669
0;2;1715769051163;32767;0;0
0;2;1715769051260;32767;0;0
0;1;1715769051270;118;1572;666
0;2;1715769051358;32767;0;0
0;1;1715769051369;127;1578;675
0;2;1715769051456;32767;0;0
0;2;1715769051553;32767;0;0
0;1;1715769051565;112;1561;681
0;2;1715769051654;32767;0;0
0;1;1715769051664;114;1555;709
0;1;1715769051762;106;1530;765
0;1;1715769051860;108;1522;771
0;2;1715769051944;32767;0;0
0;1;1715769052057;78;1654;796
0;2;1715769052140;32767;0;0
0;1;1715769052156;36;1728;859
0;2;1715769052238;32767;0;0
0;1;1715769052253;145;1641;640
0;2;1715769052336;32767;0;0
0;1;1715769052451;25;1042;498
0;2;1715769052531;32767;0;0
0;2;1715769052629;32767;0;0
0;1;1715769052645;-93;1407;733
0;2;1715769052728;32767;0;0
0;2;1715769052824;32767;0;0
0;2;1715769052922;32767;0;0
0;1;1715769052940;-111;1476;700
0;2;1715769053019;32767;0;0
0;1;1715769053039;-85;1539;694
0;2;1715769053117;32767;0;0
0;1;1715769053138;-51;1687;901
0;2;1715769053214;32767;0;0
0;2;1715769053313;32767;0;0
0;1;1715769053334;-97;1824;1143
0;2;1715769053411;32767;0;0
0;1;1715769053432;-51;1638;655
0;2;1715769053508;32767;0;0
0;1;1715769053530;138;1194;283
0;2;1715769053606;32767;0;0
0;1;1715769053629;349;885;217
0;2;1715769053704;32767;0;0
0;1;1715769053726;375;999;385
0;2;1715769053804;32767;0;0
0;1;1715769053825;315;1200;501
0;2;1715769053899;32767;0;0
0;1;1715769053924;298;1236;463
0;2;1715769053997;32767;0;0
0;1;1715769054021;295;1263;396
0;2;1715769054094;32767;0;0
0;1;1715769054120;301;1303;337
0;2;1715769054192;32767;0;0
0;1;1715769054218;294;1392;316
0;2;1715769054292;32767;0;0
0;1;1715769054319;223;1593;411
0;1;1715769054415;40;1824;663
0;2;1715769054486;32767;0;0
0;1;1715769054513;-169;1830;750
0;2;1715769054584;32767;0;0
0;1;1715769054611;-229;1558;531
0;2;1715769054681;32767;0;0
0;1;1715769054709;-189;1135;322
0;1;1715769054808;-73;729;247
0;1;1715769054906;58;514;244
0;2;1715769054974;32767;0;0
0;1;1715769055004;57;480;310
0;2;1715769055072;32767;0;0
0;1;1715769055102;3;471;409
0;2;1715769055170;32767;0;0
0;1;1715769055201;-4;463;447
0;2;1715769055267;32767;0;0
0;1;1715769055299;-6;460;465
0;1;1715769055397;-4;460;472
0;2;1715769055463;32767;0;0
0;1;1715769055495;21;475;436
0;1;1715769055594;118;541;336
0;2;1715769055658;32767;0;0
0;1;1715769055692;325;678;279
0;1;1715769055790;423;750;343
0;2;1715769055854;32767;0;0
0;1;1715769055891;373;724;358
0;2;1715769055952;32767;0;0
0;1;1715769055986;331;501;369
0;2;1715769056049;32767;0;0
0;1;1715769056085;300;234;403
0;2;1715769056147;32767;0;0
0;1;1715769056184;246;276;297
0;2;1715769056245;32767;0;0
0;2;1715769056342;32767;0;0
0;2;1715769056441;32767;0;0
0;1;1715769056479;111;681;253
0;2;1715769056538;32767;0;0
0;1;1715769056576;112;718;184
0;2;1715769056635;32767;0;0
0;1;1715769056675;145;807;102
0;2;1715769056733;32767;0;0
0;2;1715769056831;32767;0;0
0;2;1715769056930;32767;0;0
0;1;1715769056970;151;1747;492
0;2;1715769057026;32767;0;0
0;2;1715769057124;32767;0;0
0;1;1715769057166;213;976;363
0;2;1715769057221;32767;0;0
0;1;1715769057264;313;394;592
0;2;1715769057319;32767;0;0
0;1;1715769057362;343;156;801
0;2;1715769057417;32767;0;0
0;2;1715769057514;32767;0;0
0;2;1715769057612;32767;0;0
0;1;1715769057657;247;370;730
0;2;1715769057711;32767;0;0
0;1;1715769057756;235;403;636
0;2;1715769057808;32767;0;0
0;1;1715769057853;244;448;547
0;2;1715769057906;32767;0;0
0;1;1715769057952;261;567;468
0;2;1715769058004;32767;0;0
0;1;1715769058050;283;891;435
0;1;1715769058148;235;1249;507
0;2;1715769058199;32767;0;0
0;1;1715769058247;39;1197;534
0;2;1715769058297;32767;0;0
0;1;1715769058345;-240;822;558
0;1;1715769058443;-444;816;640
0;2;1715769058492;32767;0;0
0;1;1715769058542;-387;1161;613
0;1;1715769058640;-307;1344;612
0;2;1715769058687;32767;0;0
0;1;1715769058741;-346;1365;720
0;1;1715769058837;-354;1324;786
0;1;1715769058934;-312;1300;757
0;2;1715769058981;32767;0;0
0;1;1715769059033;-240;1312;687
0;2;1715769059079;32767;0;0
0;1;1715769059131;-126;1378;640
0;2;1715769059176;32767;0;0
0;1;1715769059229;57;1486;655
0;2;1715769059275;32767;0;0
0;1;1715769059328;133;1539;700
0;2;1715769059372;32767;0;0
0;1;1715769059426;108;1536;738
0;2;1715769059470;32767;0;0
0;2;1715769059567;32767;0;0
0;1;1715769059625;121;1519;727
0;2;1715769059665;32767;0;0
0;1;1715769059721;138;1534;687
0;2;1715769059762;32767;0;0
0;1;1715769059819;129;1554;667
0;2;1715769059860;32767;0;0
0;1;1715769059918;114;1555;663
0;2;1715769059958;32767;0;0
0;1;1715769060016;106;1558;663
0;2;1715769060055;32767;0;0
0;1;1715769060114;100;1557;673
0;2;1715769060153;32767;0;0
0;1;1715769060212;102;1566;676
0;2;1715769060252;32767;0;0
0;1;1715769060310;117;1579;676
0;2;1715769060349;32767;0;0
0;1;1715769060409;117;1569;679
0;2;1715769060447;32767;0;0
0;1;1715769060508;111;1566;673
0;2;1715769060545;32767;0;0
0;2;1715769060642;32767;0;0
0;2;1715769060740;32767;0;0
0;1;1715769060802;111;1560;670
0;2;1715769060838;32767;0;0
0;2;1715769060935;32767;0;0
0;2;1715769061033;32767;0;0
0;1;1715769061097;106;1564;670
